Name,Review,SkuInfo,Date,StarCount
siew Y.,good,color_family:Black,02 Nov 2023,5
norhashima S.,mask ok..selesa dipkai..hrga pun murah..tq seller.....,Color:Navy Blue,24 Dec 2021,5
SIRAF,perhantaran cepat pantas terima kasih mask selesa dipakai,color_family:Black,03 Jul 2023,5
M***h,Item received in good condition and same as advertised....,color_family:Headloop Darkblue,14 Jul 2023,5
1***3,"Good mask, super super super comfortable,recommend to buy",color_family:Black,04 Jun 2023,5
B***.,"paid for 30 items, received only 26, very unsatisfy.",color_family:Black,03 May 2023,5
hamzah,thank you seller Lazada delivery team give 5 ⭐⭐⭐⭐⭐,color_family:Black,07 Apr 2023,5
滈***.,wrong colour,color_family:Navy Blue,10 Oct 2023,1
Yap B.,"Fast shipping, will repurchase again.  Thank you",color_family:Black,05 Jun 2023,5
Z***.,"Order Received
Well packaged and fast delivery",color_family:Black,28 Mar 2023,5
mhd A.,sangat terbaik... puas hati,color_family:Hitam,22 Aug 2023,5
Shahbudin P.,"Secure nose clip for better fit., Waterproof and dustproof.,",color_family:White,4  weeks ago,5
Ah Z.,"Great quality material., Comfortable fit and secure., Stylish black color.,",color_family:Black,07 Jun 2024,5
delfiana,thank you dah Sampai,color_family:Hitam,22 Jun 2023,5
Daphne K.,good & fast👍👍👍👏👏👏,color_family:Navy Blue,12 Jun 2023,5
Rosmanika M.,"very fast
terbaik seller",color_family:Light Brown,04 Apr 2023,5
HAPPY T.,Received with gd condition,color_family:White,18 Mar 2023,5
B***.,"Good value for money
Good product quality
Fast delivery
Good packaging
Excellent service from seller",color_family:Grey,16 Mar 2023,5
takahshi F.,kurang 2 pack mask ..........order 14 pack sampai 12 pack only,color_family:Ombre Gradient,09 Mar 2023,5
I***.,Bought this brand of mask a few times. Economical and have many colors to choose from.,color_family:Black,06 Mar 2023,5
t***.,Items packed well. Received in good condition. Received 2 different types of masks,color_family:White,06 Mar 2023,5
A***.,Repeat order. Received with good condition. Fact delivery,color_family:White,28 Feb 2023,5
1***0,good quality value,color_family:Ombre Gradient,16 Feb 2023,5
Tan K.,"penghantaran cepat, dibungkus kemas, harga berbaloi, warna yang cantik.",color_family:Navy Blue,16 Feb 2023,5
Ghaffur J.,berbaloi-baloi,color_family:Yellow,25 Jan 2023,5
0***0,Alhamdulillah barang dah sampai dengan selamat.. Tpi ade item yg xde... Hmmm sedih,color_family:PurplePattern20PCS,25 Jan 2023,5
Chong S.,Good product,color_family:Ombre Gradient,09 Jan 2023,5
CHIU L.,Goods received in good condition. Satisfied with the product. Thank you seller.,color_family:White,24 Dec 2022,5
masniza B.,"tq....
tq...........
tq..........
tq...................",color_family:Headloop Grey,30 Dec 2022,5
Joanna L.,arrived in good order. fast delivery. thanks to both seller & delivery man.,color_family:Black,19 Dec 2022,5
SALBIAH B.,KF94 Korea Earlop 4 Ply dah sampai. Terima kasih seller n courier,color_family:Hitam,15 Dec 2022,5
Lee W.,"Fast respond by seller, very cheap.. quality is good as well..",color_family:Black,10 Dec 2022,5
Kamilia R.,fast delivery nice packaging worth to try buy something from this shop,color_family:White,07 Dec 2022,5
takahshi F.,"delivery a bit slow but still can acceptable
I think as low price in town 👍👍👍👍👍👍👍👍👍👍👍",color_family:Dark Red,05 Dec 2022,5
Yana A.,"elok pakai ,tebal

elok pakai ,tebal
elok pakai ,tebal
elok pakai ,tebal
elok pakai ,tebal
elok pakai ,tebal
elok pakai ,tebal
elok pakai ,tebal
elok pakai ,tebal
elok pakai ,tebal
elok pakai ,tebal",color_family:Headloop Grey,09 Dec 2022,5
kam5802,"11/11/2022 order , fast delivery good product 👍,, cheap,",color_family:Black,03 Dec 2022,5
L***.,Received with good condition.,color_family:Purple,01 Dec 2022,5
Mary T.,"great seller
fast delivery
packing is good
will buy again....",color_family:Black,01 Dec 2022,5
Aline T.,"Good product quality, good value for money, fast delivery, excellent service by seller, thank you seller.",color_family:BlackPattern20PCS,29 Nov 2022,5
masniza B.,tq.....TQ.........TQ.......TQ......................,color_family:Headloop Grey,29 Nov 2022,5
TYY443,nice and fast delivery,color_family:White,26 Nov 2022,5
Min Y.,Repeated order good!!! 👍👍👍,color_family:Black,25 Nov 2022,5
